INSERT INTO t_user_weight VALUES ('1', '200010001', 'zlto','男', '43', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('48', '200010048', 'vnkp','男', '19', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('49', '200010049', 'lhyz','女', '91', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('50', '200010050', 'nuhc','女', '40', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('51', '200010051', 'tbcs','女', '30', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('52', '200010052', 'xtcy','女', '64', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('53', '200010053', 'nxfl','女', '88', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('54', '200010054', 'lhxy','女', '97', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('55', '200010055', 'jpbe','女', '20', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('56', '200010056', 'lymb','男', '30', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('57', '200010057', 'xijt','女', '13', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('58', '200010058', 'rzid','男', '94', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('59', '200010059', 'ectx','男', '26', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('60', '200010060', 'xmkv','女', '37', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('61', '200010061', 'bacy','男', '63', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('62', '200010062', 'lkdu','女', '42', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('63', '200010063', 'gzpu','女', '30', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('64', '200010064', 'gvso','男', '51', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('65', '200010065', 'islk','女', '24', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('66', '200010066', 'ygrl','女', '22', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('67', '200010067', 'ebqj','女', '26', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('68', '200010068', 'wbxd','男', '70', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('69', '200010069', 'ktew','女', '56', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('70', '200010070', 'okma','男', '75', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('71', '200010071', 'zoxl','男', '26', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('72', '200010072', 'tvdo','男', '10', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('73', '200010073', 'xjug','女', '94', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('74', '200010074', 'vxja','女', '59', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('75', '200010075', 'wjvn','女', '11', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('76', '200010076', 'sbfj','男', '82', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('77', '200010077', 'xglq','女', '77', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('78', '200010078', 'hmcj','男', '73', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('79', '200010079', 'jbdo','男', '16', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('80', '200010080', 'crhv','女', '52', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('81', '200010081', 'ojml','男', '62', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('82', '200010082', 'fpzn','男', '45', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('83', '200010083', 'ynlj','男', '64', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('84', '200010084', 'sxew','女', '28', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('85', '200010085', 'heby','男', '20', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('86', '200010086', 'nmhr','女', '28', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('87', '200010087', 'hgtf','女', '97', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('88', '200010088', 'kivf','女', '18', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('89', '200010089', 'pzij','女', '95', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('90', '200010090', 'btcl','男', '88', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('91', '200010091', 'lgcn','男', '47', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('92', '200010092', 'mkio','男', '36', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('93', '200010093', 'krno','女', '74', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('94', '200010094', 'gszp','男', '14', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('95', '200010095', 'cyrk','男', '65', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('96', '200010096', 'lqbp','男', '50', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('97', '200010097', 'fawz','男', '93', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('98', '200010098', 'cexl','男', '11', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('99', '200010099', 'sigx','男', '61', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('100', '200010100', 'btwy','女', '21', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('101', '200010101', 'zxlm','男', '88', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('102', '200010102', 'ixqc','男', '16', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('103', '200010103', 'znmv','男', '77', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('104', '200010104', 'utfz','女', '54', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('105', '200010105', 'fyen','男', '18', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('106', '200010106', 'ysgh','男', '70', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('107', '200010107', 'nmrg','男', '22', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('108', '200010108', 'fjoa','男', '40', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('109', '200010109', 'pouq','男', '68', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('110', '200010110', 'ygcu','女', '90', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('111', '200010111', 'uvlr','男', '55', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('112', '200010112', 'qofc','女', '86', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('113', '200010113', 'tgzj','男', '68', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('114', '200010114', 'neys','女', '35', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('115', '200010115', 'uicn','女', '80', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('116', '200010116', 'bhil','男', '28', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('117', '200010117', 'xnqg','女', '28', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('118', '200010118', 'biuo','女', '38', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('119', '200010119', 'zdtp','男', '42', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('120', '200010120', 'nhqb','女', '48', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('121', '200010121', 'zpoq','女', '15', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('122', '200010122', 'vkmt','男', '74', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('123', '200010123', 'bngm','女', '26', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('124', '200010124', 'koaj','女', '54', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('125', '200010125', 'mspn','男', '37', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('126', '200010126', 'ufoz','男', '24', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('127', '200010127', 'siua','女', '56', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('128', '200010128', 'ukzn','女', '32', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('129', '200010129', 'eqtb','女', '70', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('130', '200010130', 'pogt','男', '18', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('131', '200010131', 'ztwx','男', '68', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('132', '200010132', 'ujyx','女', '95', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('133', '200010133', 'mvsx','女', '33', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('134', '200010134', 'hklz','女', '89', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('135', '200010135', 'dryp','男', '70', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('136', '200010136', 'swhp','男', '50', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('137', '200010137', 'nthg','男', '81', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('138', '200010138', 'ohud','女', '18', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('139', '200010139', 'zjbo','女', '12', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('140', '200010140', 'mbdh','男', '88', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('141', '200010141', 'lgbk','女', '56', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('142', '200010142', 'zioh','男', '42', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('143', '200010143', 'xval','男', '32', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('144', '200010144', 'pghy','男', '30', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('145', '200010145', 'gdpn','女', '43', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('146', '200010146', 'rybk','男', '77', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('147', '200010147', 'uiwb','女', '43', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('148', '200010148', 'payk','男', '88', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('149', '200010149', 'ymhz','女', '96', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('150', '200010150', 'ugnh','男', '68', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('151', '200010151', 'vtqz','男', '98', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('152', '200010152', 'muok','男', '78', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('153', '200010153', 'kgcp','女', '87', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('154', '200010154', 'dopx','女', '28', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('155', '200010155', 'rejg','女', '44', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('156', '200010156', 'fayu','男', '90', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('157', '200010157', 'phxa','女', '59', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('158', '200010158', 'ofkw','女', '32', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('159', '200010159', 'syml','女', '66', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('160', '200010160', 'yloe','女', '80', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('161', '200010161', 'fecm','男', '66', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('162', '200010162', 'dlbp','女', '26', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('163', '200010163', 'vwux','男', '63', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('164', '200010164', 'sycz','女', '26', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('165', '200010165', 'rszq','男', '16', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('166', '200010166', 'atcj','女', '27', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('167', '200010167', 'kyvw','男', '31', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('168', '200010168', 'nzro','男', '92', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('169', '200010169', 'depb','男', '64', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('170', '200010170', 'wtbg','女', '29', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('171', '200010171', 'rlbv','男', '82', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('172', '200010172', 'mvgx','男', '52', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('173', '200010173', 'mykb','男', '32', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('174', '200010174', 'spno','女', '36', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('175', '200010175', 'aofv','男', '45', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('176', '200010176', 'zcxv','男', '46', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('177', '200010177', 'vmjp','男', '36', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('178', '200010178', 'hcdv','男', '24', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('179', '200010179', 'mkbw','男', '40', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('180', '200010180', 'kdha','女', '89', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('181', '200010181', 'pcvg','女', '61', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('182', '200010182', 'vmer','女', '87', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('183', '200010183', 'tlba','女', '33', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('184', '200010184', 'kjoa','男', '94', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('185', '200010185', 'rhnm','男', '18', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('186', '200010186', 'wezo','女', '88', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('187', '200010187', 'cbuw','女', '51', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('188', '200010188', 'vopd','男', '25', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('189', '200010189', 'iqkz','男', '60', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('190', '200010190', 'awen','女', '19', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('191', '200010191', 'tdkm','男', '34', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('192', '200010192', 'ipgc','男', '76', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('193', '200010193', 'troy','男', '57', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('194', '200010194', 'kyqx','女', '13', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('195', '200010195', 'gkea','男', '40', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('196', '200010196', 'zmwl','女', '13', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('197', '200010197', 'tvpz','女', '89', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('198', '200010198', 'eslz','男', '65', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('199', '200010199', 'dntc','女', '44', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('200', '200010200', 'hrud','男', '83', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('201', '200010201', 'tndu','男', '74', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('202', '200010202', 'tidj','男', '97', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('203', '200010203', 'itwo','男', '18', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('204', '200010204', 'vygn','女', '46', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('205', '200010205', 'cqai','男', '89', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('206', '200010206', 'qvlm','男', '35', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('207', '200010207', 'nprs','男', '28', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('208', '200010208', 'mgua','女', '16', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('209', '200010209', 'lyvn','女', '94', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('210', '200010210', 'tiyc','女', '48', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('211', '200010211', 'xizk','女', '44', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('212', '200010212', 'mwvt','男', '39', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('213', '200010213', 'qwpd','女', '63', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('214', '200010214', 'fncu','女', '39', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('215', '200010215', 'bxuc','男', '44', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('216', '200010216', 'jopn','男', '39', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('217', '200010217', 'sugt','男', '64', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('218', '200010218', 'deyx','男', '86', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('219', '200010219', 'bgjt','女', '29', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('220', '200010220', 'xtdq','女', '60', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('221', '200010221', 'lvjs','女', '58', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('222', '200010222', 'vkcy','女', '90', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('223', '200010223', 'lipe','女', '88', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('224', '200010224', 'atkr','女', '63', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('225', '200010225', 'edqa','女', '98', '上海', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('226', '200010226', 'gweu','男', '32', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('227', '200010227', 'ryie','女', '29', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('228', '200010228', 'jbvu','男', '71', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('229', '200010229', 'zgrm','女', '75', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('230', '200010230', 'aqou','女', '56', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('231', '200010231', 'mzra','男', '40', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('232', '200010232', 'cjgt','男', '43', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('233', '200010233', 'zgyl','男', '46', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('234', '200010234', 'lzfb','女', '16', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('235', '200010235', 'jaks','男', '12', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('236', '200010236', 'pwsz','女', '97', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('237', '200010237', 'etdg','男', '50', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('238', '200010238', 'ufva','女', '83', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('239', '200010239', 'qydx','男', '52', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('240', '200010240', 'qvdl','男', '10', '北京', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('241', '200010241', 'snyq','女', '92', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('242', '200010242', 'kxel','男', '60', '深圳', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('243', '200010243', 'clgp','女', '53', '广州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('244', '200010244', 'hopu','男', '67', '杭州', '2018-10-29 16:18:43');
INSERT INTO t_user_weight VALUES ('245', '200010245', 'sxve','男', '47', '北京', '2018-10-29 16:18:43');
